fecha,compra,venta,origen,fecha_origen_valor
01/06/2024,3.735,3.741,SUNAT (publicado),01/06/2024
02/06/2024,3.735,3.741,SUNAT (publicado),02/06/2024
03/06/2024,3.735,3.741,SUNAT (publicado),03/06/2024
04/06/2024,3.726,3.736,SUNAT (publicado),04/06/2024
05/06/2024,3.73,3.74,SUNAT (publicado),05/06/2024
06/06/2024,3.741,3.747,SUNAT (publicado),06/06/2024
07/06/2024,3.747,3.756,SUNAT (publicado),07/06/2024
08/06/2024,3.747,3.756,SUNAT (publicado),08/06/2024
09/06/2024,3.747,3.756,SUNAT (publicado),09/06/2024
10/06/2024,3.747,3.756,SUNAT (publicado),10/06/2024
11/06/2024,3.765,3.781,SUNAT (publicado),11/06/2024
12/06/2024,3.779,3.787,SUNAT (publicado),12/06/2024
13/06/2024,3.766,3.772,SUNAT (publicado),13/06/2024
14/06/2024,3.77,3.777,SUNAT (publicado),14/06/2024
15/06/2024,3.764,3.776,SUNAT (publicado),15/06/2024
16/06/2024,3.764,3.776,SUNAT (publicado),16/06/2024
17/06/2024,3.764,3.776,SUNAT (publicado),17/06/2024
18/06/2024,3.783,3.796,SUNAT (publicado),18/06/2024
19/06/2024,3.78,3.789,SUNAT (publicado),19/06/2024
20/06/2024,3.81,3.818,SUNAT (publicado),20/06/2024
21/06/2024,3.802,3.814,SUNAT (publicado),21/06/2024
22/06/2024,3.795,3.806,SUNAT (publicado),22/06/2024
23/06/2024,3.795,3.806,SUNAT (publicado),23/06/2024
24/06/2024,3.795,3.806,SUNAT (publicado),24/06/2024
25/06/2024,3.795,3.805,SUNAT (publicado),25/06/2024
26/06/2024,3.807,3.817,SUNAT (publicado),26/06/2024
27/06/2024,3.811,3.822,SUNAT (publicado),27/06/2024
28/06/2024,3.817,3.825,SUNAT (publicado),28/06/2024
29/06/2024,3.827,3.837,SUNAT (publicado),29/06/2024
30/06/2024,3.827,3.837,SUNAT (publicado),30/06/2024
01/07/2024,3.827,3.837,SUNAT (publicado),01/07/2024
02/07/2024,3.834,3.851,SUNAT (publicado),02/07/2024
03/07/2024,3.826,3.833,SUNAT (publicado),03/07/2024
04/07/2024,3.793,3.802,SUNAT (publicado),04/07/2024
05/07/2024,3.788,3.802,SUNAT (publicado),05/07/2024
06/07/2024,3.788,3.797,SUNAT (publicado),06/07/2024
07/07/2024,3.788,3.797,SUNAT (publicado),07/07/2024
08/07/2024,3.788,3.797,SUNAT (publicado),08/07/2024
09/07/2024,3.782,3.797,SUNAT (publicado),09/07/2024
10/07/2024,3.781,3.789,SUNAT (publicado),10/07/2024
11/07/2024,3.774,3.785,SUNAT (publicado),11/07/2024
12/07/2024,3.766,3.771,SUNAT (publicado),12/07/2024
13/07/2024,3.729,3.74,SUNAT (publicado),13/07/2024
14/07/2024,3.729,3.74,SUNAT (publicado),14/07/2024
15/07/2024,3.729,3.74,SUNAT (publicado),15/07/2024
16/07/2024,3.719,3.733,SUNAT (publicado),16/07/2024
17/07/2024,3.714,3.725,SUNAT (publicado),17/07/2024
18/07/2024,3.715,3.723,SUNAT (publicado),18/07/2024
19/07/2024,3.728,3.735,SUNAT (publicado),19/07/2024
20/07/2024,3.736,3.743,SUNAT (publicado),20/07/2024
21/07/2024,3.736,3.743,SUNAT (publicado),21/07/2024
22/07/2024,3.736,3.743,SUNAT (publicado),22/07/2024
23/07/2024,3.749,3.758,SUNAT (publicado),23/07/2024
24/07/2024,3.749,3.758,SUNAT (publicado),24/07/2024
25/07/2024,3.769,3.778,SUNAT (publicado),25/07/2024
26/07/2024,3.757,3.764,SUNAT (publicado),26/07/2024
27/07/2024,3.757,3.764,Arrastrado (dia sin publicacion),26/07/2024
28/07/2024,3.757,3.764,Arrastrado (dia sin publicacion),26/07/2024
29/07/2024,3.757,3.764,Arrastrado (dia sin publicacion),26/07/2024
30/07/2024,3.757,3.764,Arrastrado (dia sin publicacion),26/07/2024
31/07/2024,3.726,3.742,SUNAT (publicado),31/07/2024
01/08/2024,3.712,3.722,SUNAT (publicado),01/08/2024
02/08/2024,3.733,3.741,SUNAT (publicado),02/08/2024
03/08/2024,3.74,3.748,SUNAT (publicado),03/08/2024
04/08/2024,3.74,3.748,SUNAT (publicado),04/08/2024
05/08/2024,3.74,3.748,SUNAT (publicado),05/08/2024
06/08/2024,3.744,3.754,SUNAT (publicado),06/08/2024
07/08/2024,3.744,3.754,SUNAT (publicado),07/08/2024
08/08/2024,3.729,3.74,SUNAT (publicado),08/08/2024
09/08/2024,3.726,3.732,SUNAT (publicado),09/08/2024
10/08/2024,3.725,3.731,SUNAT (publicado),10/08/2024
11/08/2024,3.725,3.731,SUNAT (publicado),11/08/2024
12/08/2024,3.725,3.731,SUNAT (publicado),12/08/2024
13/08/2024,3.739,3.747,SUNAT (publicado),13/08/2024
14/08/2024,3.746,3.75,SUNAT (publicado),14/08/2024
15/08/2024,3.737,3.744,SUNAT (publicado),15/08/2024
16/08/2024,3.731,3.737,SUNAT (publicado),16/08/2024
17/08/2024,3.738,3.748,SUNAT (publicado),17/08/2024
18/08/2024,3.738,3.748,SUNAT (publicado),18/08/2024
19/08/2024,3.738,3.748,SUNAT (publicado),19/08/2024
20/08/2024,3.726,3.74,SUNAT (publicado),20/08/2024
21/08/2024,3.739,3.747,SUNAT (publicado),21/08/2024
22/08/2024,3.737,3.744,SUNAT (publicado),22/08/2024
23/08/2024,3.754,3.76,SUNAT (publicado),23/08/2024
24/08/2024,3.739,3.748,SUNAT (publicado),24/08/2024
25/08/2024,3.739,3.748,SUNAT (publicado),25/08/2024
26/08/2024,3.739,3.748,SUNAT (publicado),26/08/2024
27/08/2024,3.745,3.759,SUNAT (publicado),27/08/2024
28/08/2024,3.74,3.748,SUNAT (publicado),28/08/2024
29/08/2024,3.735,3.743,SUNAT (publicado),29/08/2024
30/08/2024,3.739,3.75,SUNAT (publicado),30/08/2024
31/08/2024,3.739,3.75,SUNAT (publicado),31/08/2024
01/09/2024,3.739,3.75,SUNAT (publicado),01/09/2024
02/09/2024,3.739,3.75,SUNAT (publicado),02/09/2024
03/09/2024,3.753,3.768,SUNAT (publicado),03/09/2024
04/09/2024,3.771,3.781,SUNAT (publicado),04/09/2024
05/09/2024,3.793,3.797,SUNAT (publicado),05/09/2024
06/09/2024,3.789,3.796,SUNAT (publicado),06/09/2024
07/09/2024,3.779,3.781,SUNAT (publicado),07/09/2024
