id_partida,fecha,modalidad,variante,clasificada,color,rating_propio,rating_rival,resultado,estado_final
Efrc0xxt,2024-06-22 18:48:13.647,bullet,standard,True,black,3079,2441,win,resign
y0gKUFrf,2024-06-22 18:49:47.691,bullet,standard,True,white,3080,2597,win,resign
DGe4uZ0J,2024-06-22 18:51:28.067,bullet,standard,True,black,3083,2484,win,mate
5m6KZ6Aj,2024-06-22 18:53:03.202,bullet,standard,True,white,3085,2760,loss,resign
YB1gWnQG,2024-06-22 18:53:57.427,bullet,standard,True,black,3046,2365,win,mate
QHPVrTI9,2024-06-22 18:56:07.308,bullet,standard,True,white,3047,2959,win,outoftime
bnrQVFwg,2024-06-22 18:58:35.823,bullet,standard,True,black,3063,2765,draw,draw
FmWRUOb5,2024-06-22 19:00:30.346,bullet,standard,True,black,3049,2663,win,mate
xtXialtC,2024-06-22 19:02:01.777,bullet,standard,True,white,3053,2765,loss,outoftime
2KJCBnT4,2024-06-22 19:03:15.224,bullet,standard,True,white,3021,2702,loss,outoftime
7Yn8tQRZ,2024-06-22 19:04:51.379,bullet,standard,True,black,2988,2833,win,resign
0zgPiLLC,2024-06-22 19:07:05.166,bullet,standard,True,white,2999,2782,win,mate
WIPbQ2uh,2024-06-22 19:08:36.764,bullet,standard,True,white,3007,2875,win,resign
apzXqc2m,2024-06-22 19:10:33.916,bullet,standard,True,black,3018,2892,win,mate
BZlVXbm2,2025-05-24 19:13:12.218,bullet,standard,True,black,3028,1820,win,resign
sehBuh7G,2025-05-24 19:14:24.873,bullet,standard,True,white,3029,2678,win,mate
DRDFnjTg,2025-05-24 19:16:00.763,bullet,standard,True,black,3037,2721,win,mate
nqJ08CV3,2025-05-24 19:17:34.431,bullet,standard,True,white,3046,2731,win,resign
sU7DwEQ5,2025-05-24 19:19:24.546,bullet,standard,True,black,3055,2891,win,mate
OfyuJPd6,2025-05-24 19:21:52.770,bullet,standard,True,white,3072,2822,win,mate
s0Uhpirb,2025-05-24 19:24:24.680,bullet,standard,True,black,3083,2882,draw,draw
QypoKrwX,2025-05-24 19:26:15.347,bullet,standard,True,white,3069,2964,win,resign
mpdOSjGE,2025-05-24 19:27:30.116,bullet,standard,True,black,3087,3009,win,resign
7TA0gikZ,2025-05-24 19:29:25.225,bullet,standard,True,black,3105,3015,win,resign
cEbsIuIM,2025-05-24 19:30:04.619,bullet,standard,True,white,3122,3157,win,resign
oaByoGQT,2025-05-24 19:30:58.626,bullet,standard,True,white,3144,3102,win,resign
JlEpkyk3,2025-05-24 19:32:32.052,bullet,standard,True,black,3162,3161,win,resign
Kmr7r6wh,2025-05-24 19:33:46.544,bullet,standard,True,white,3180,3059,win,outoftime
w0kyVgi1,2025-05-24 19:35:55.388,bullet,standard,True,black,3192,2944,loss,outoftime
iURTZvqA,2025-05-24 19:38:25.352,bullet,standard,True,white,3165,3137,win,resign
zhHaWEYx,2025-05-24 19:39:19.636,bullet,standard,True,white,3180,3223,loss,resign
p8t7n1h4,2025-05-24 19:41:31.276,bullet,standard,True,black,3166,3061,loss,resign
OfNq3gH6,2025-05-24 19:43:05.006,bullet,standard,True,white,3147,3155,win,resign
6lXVH00K,2025-05-24 19:44:57.302,bullet,standard,True,black,3162,2958,win,outoftime
eWcl7RsZ,2025-05-24 19:47:31.407,bullet,standard,True,black,3169,3132,win,mate
