departamento,provincia,nivel,puntos,poblacion,poblacion_con_acceso_vial,pct_sin_acceso_vial,t_medio_pond_min,t_p50_pond_min,t_p90_pond_min
LORETO,MARISCAL RAMON CASTILLA,provincia,180,79709,23969,69.93,4194.7,4910.6,4922.1
LORETO,PUTUMAYO,provincia,62,12555,2501,80.08,2268.5,2204.5,3225.3
LORETO,DATEM DEL MARAÑON,provincia,204,83026,10866,86.91,407.2,407.2,411.8
LORETO,ALTO AMAZONAS,provincia,265,118314,75807,35.93,315.7,15.3,1726.2
LORETO,LORETO,provincia,194,82827,33358,59.73,281.7,122.6,736.8
AYACUCHO,SUCRE,provincia,117,8344,7088,15.05,138.6,142.5,158.6
AYACUCHO,HUANCA SANCOS,provincia,57,10365,9918,4.31,138.2,115.1,225.7
LORETO,REQUENA,provincia,222,65949,44863,31.97,126.0,126.1,126.1
LORETO,UCAYALI,provincia,171,69074,62149,10.03,113.0,151.5,286.5
AYACUCHO,PAUCAR DEL SARA SARA,provincia,114,9361,9117,2.61,111.7,102.8,175.6
AYACUCHO,LUCANAS,provincia,332,74757,64067,14.3,91.0,65.2,214.0
AYACUCHO,VILCAS HUAMAN,provincia,119,22687,22687,0.0,88.9,76.7,133.2
AYACUCHO,VICTOR FAJARDO,provincia,156,21303,20718,2.75,66.5,61.4,131.3
LAMBAYEQUE,FERREÑAFE,provincia,182,103432,101979,1.4,63.3,29.0,170.8
AYACUCHO,CANGALLO,provincia,117,32793,32219,1.75,56.3,32.1,145.1
AYACUCHO,LA MAR,provincia,310,100525,84485,15.96,45.4,21.7,97.6
AYACUCHO,PARINACOCHAS,provincia,138,33495,33119,1.12,44.5,14.0,106.3
LAMBAYEQUE,LAMBAYEQUE,provincia,540,296562,287589,3.03,31.1,22.5,77.3
LORETO,MAYNAS,provincia,382,266935,231198,13.39,18.3,18.3,56.1
AYACUCHO,HUANTA,provincia,291,108886,108563,0.3,17.3,3.8,58.6
AYACUCHO,HUAMANGA,provincia,345,292723,292723,0.0,17.1,4.3,54.4
LAMBAYEQUE,CHICLAYO,provincia,502,838767,838749,0.0,10.0,4.8,23.8
