ccpp_id,departamento,distrito,poblacion,peso_muestral,ipress_mas_cercana_pie,t_pie_seg,dist_pie_m,t_pie_min,alcanzable_pie,snap_colapsado_pie
CP000025,AYACUCHO,HUANTA,14751.936149597168,14751.936149597168,00031357,107.3,149.2,1.7883333333333333,True,False
CP000077,AYACUCHO,HUANTA,2604.0600357055664,2604.0600357055664,00033788,694.9,965.1,11.581666666666667,True,False
CP000078,AYACUCHO,HUANTA,2299.8567657470703,2299.8567657470703,00027666,1272.3,1767.0,21.205,True,False
CP000079,AYACUCHO,HUANTA,5282.498508453369,5282.498508453369,00029745,435.4,605.0,7.256666666666666,True,False
CP000080,AYACUCHO,HUANTA,2172.5398597717285,2172.5398597717285,00003658,726.6,1009.0,12.110000000000001,True,False
CP000083,AYACUCHO,HUANTA,3548.743984222412,3548.743984222412,00026014,793.9,1102.7,13.231666666666666,True,False
CP000084,AYACUCHO,HUANTA,5824.006107330322,5824.006107330322,00036620,709.5,985.4,11.825,True,False
CP000085,AYACUCHO,HUANTA,2043.4128723144531,2043.4128723144531,00036620,784.3,1089.5,13.071666666666665,True,False
CP000088,AYACUCHO,HUANTA,0.0,0.0,00003660,294.2,408.5,4.903333333333333,True,False
CP000095,AYACUCHO,HUANTA,146.45384979248047,146.45384979248047,00003659,198.1,275.2,3.3016666666666667,True,False
CP000118,AYACUCHO,IGUAIN,216.2246551513672,216.2246551513672,00003654,281.7,391.5,4.694999999999999,True,False
CP000140,AYACUCHO,LURICOCHA,525.5115623474121,525.5115623474121,00003663,255.6,355.1,4.26,True,False
CP000230,AYACUCHO,CHACA,6339.394775390625,6339.394775390625,00003669,60.5,84.2,1.0083333333333333,True,False
CP000237,AYACUCHO,SIVIA,2598.0063819885254,2598.0063819885254,00003770,480.6,667.4,8.01,True,False
CP000271,AYACUCHO,SIVIA,0.0,0.0,00003775,190.5,264.5,3.175,True,False
CP000279,AYACUCHO,SIVIA,2155.2018661499023,2155.2018661499023,00006911,0.0,0.0,0.0,True,True
CP000282,AYACUCHO,SAMUGARI,3668.71661567688,3668.71661567688,00003749,1377.5,1912.7,22.958333333333332,True,False
CP000326,AYACUCHO,UNION PROGRESO,2171.932098388672,2171.932098388672,00003762,1979.0,2748.8,32.983333333333334,True,False
CP000346,AYACUCHO,ANCO,2446.494945526123,2446.494945526123,00003757,87.3,121.4,1.4549999999999998,True,False
CP000347,AYACUCHO,AYNA,4538.570171356201,4538.570171356201,00035602,70.9,98.7,1.1816666666666669,True,False
CP000380,AYACUCHO,AYNA,2152.3522872924805,2152.3522872924805,00003755,0.0,0.0,0.0,True,True
CP000383,AYACUCHO,SANTA ROSA,4422.67188167572,4422.67188167572,00003764,144.8,201.1,2.4133333333333336,True,False
CP000396,AYACUCHO,SANTA ROSA,30.262475967407227,30.262475967407227,00003766,1158.9,1609.7,19.315,True,False
CP000412,AYACUCHO,SANTA ROSA,2210.761838912964,2210.761838912964,00003766,457.1,634.8,7.618333333333334,True,False
CP000417,AYACUCHO,TAMBO,9870.373794555664,9870.373794555664,00033804,286.0,397.0,4.766666666666667,True,False
CP000420,AYACUCHO,TAMBO,3089.5255737304688,3089.5255737304688,00010366,10013.1,13906.7,166.88500000000002,True,False
CP000459,AYACUCHO,TAMBO,0.0,0.0,00003800,381.6,530.0,6.36,True,False
CP000460,AYACUCHO,TAMBO,260.3629455566406,260.3629455566406,00003800,476.4,661.5,7.9399999999999995,True,False
CP000466,AYACUCHO,TAMBO,3166.407196044922,3166.407196044922,00033804,814.3,1130.8,13.571666666666665,True,False
CP000467,AYACUCHO,TAMBO,2936.2940673828125,2936.2940673828125,00033804,301.9,419.2,5.031666666666666,True,False
CP000791,AYACUCHO,AYACUCHO,21712.52229309082,21712.52229309082,00028145,106.3,147.6,1.7716666666666667,True,False
CP000792,AYACUCHO,AYACUCHO,11798.157928466797,11798.157928466797,00034075,332.8,462.3,5.546666666666667,True,False
CP000793,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,5407.836484909058,5407.836484909058,00020890,891.9,1238.7,14.865,True,False
CP000794,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,8424.039394378662,8424.039394378662,00028840,212.8,221.6,3.546666666666667,True,False
CP000795,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,11659.162216186523,11659.162216186523,00032368,44.9,62.4,0.7483333333333333,True,False
CP000799,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,5489.275463104248,5489.275463104248,00003602,249.8,347.0,4.163333333333333,True,False
CP000801,AYACUCHO,SAN JUAN BAUTISTA,16794.23240661621,16794.23240661621,00003599,233.6,324.4,3.893333333333333,True,False
CP000802,AYACUCHO,SAN JUAN BAUTISTA,7016.946197509766,7016.946197509766,00006882,271.6,377.4,4.526666666666667,True,False
CP000803,AYACUCHO,SAN JUAN BAUTISTA,9042.474662780762,9042.474662780762,00036923,353.5,491.0,5.891666666666667,True,False
CP000804,AYACUCHO,SAN JUAN BAUTISTA,2432.3329696655273,2432.3329696655273,00011775,1344.8,1867.4,22.413333333333334,True,False
CP000805,AYACUCHO,CARMEN ALTO,6338.8023109436035,6338.8023109436035,00025643,1621.3,2251.9,27.021666666666665,True,False
CP000807,AYACUCHO,CARMEN ALTO,9500.908153533936,9500.908153533936,00006882,635.9,883.5,10.598333333333333,True,False
CP000824,AYACUCHO,SOCOS,3416.991523742676,3416.991523742676,00003614,2579.9,3583.7,42.998333333333335,True,False
