ranking,departamento,provincia,distrito,ubigeo,poblacion,pct_sin_acceso_vial,poblacion_sin_acceso,t_medio_pond_min,t_p90_pond_min
1,AYACUCHO,LUCANAS,OCAÑA,050612,2738,100.0,2738.0,,
2,AYACUCHO,SUCRE,HUACAÑA,050905,715,100.0,715.0,,
3,LORETO,DATEM DEL MARAÑON,ANDOAS,160706,8681,100.0,8681.0,,
4,LORETO,DATEM DEL MARAÑON,BARRANCA,160701,16273,100.0,16273.0,,
5,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,160702,7859,100.0,7859.0,,
6,LORETO,DATEM DEL MARAÑON,MORONA,160704,31076,100.0,31076.0,,
7,LORETO,DATEM DEL MARAÑON,PASTAZA,160705,8067,100.0,8067.0,,
8,LORETO,LORETO,PARINARI,160302,6732,100.0,6732.0,,
9,LORETO,LORETO,URARINAS,160305,16535,100.0,16535.0,,
10,LORETO,MAYNAS,LAS AMAZONAS,160105,9128,100.0,9128.0,,
11,LORETO,MAYNAS,TORRES CAUSANA,160110,5084,100.0,5084.0,,
12,LORETO,PUTUMAYO,ROSA PANDURO,160802,215,100.0,215.0,,
13,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,160803,4942,100.0,4942.0,,
14,LORETO,REQUENA,ALTO TAPICHE,160502,1932,100.0,1932.0,,
15,LORETO,REQUENA,EMILIO SAN MARTIN,160504,7193,100.0,7193.0,,
16,LORETO,REQUENA,MAQUIA,160505,7889,100.0,7889.0,,
17,LORETO,PUTUMAYO,YAGUAS,160804,2359,97.48,2300.0,4903.7,4903.7
18,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,160211,6912,89.1,6159.0,3.2,3.2
19,LORETO,MARISCAL RAMON CASTILLA,YAVARI,160403,14688,89.06,13081.0,4919.5,4922.1
20,LORETO,LORETO,TIGRE,160303,8741,86.79,7586.0,80.8,80.8
