cod_ipress,nombre,categoria,institucion,departamento,provincia,distrito,lon,lat
00003562,CENTRO DE SALUD VISTA ALEGRE,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,CARMEN ALTO,-74.21998482,-13.18206138
00003576,CENTRO DE SALUD LOS LICENCIADOS,I-4,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,AYACUCHO,-74.23119727,-13.14320269
00003710,CENTRO DE SALUD ANDAMARCA,I-4,GOBIERNO REGIONAL,AYACUCHO,LUCANAS,CARMEN SALCEDO,-73.96078894,-14.38447221
00003590,CENTRO DE SALUD PUTACCA,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,VINCHOS,-74.34842567,-13.40421947
00003595,CENTRO DE SALUD QUINUA,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,QUINUA,-74.140475,-13.04955333
00003551,CENTRO DE SALUD ACOSVINCHOS,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,ACOS VINCHOS,-74.10176258,-13.11269391
00003554,CENTRO DE SALUD BELEN,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,AYACUCHO,-74.23385457,-13.16312329
00003560,CENTRO DE SALUD CARMEN ALTO,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,CARMEN ALTO,-74.22515157,-13.17670264
00003602,CENTRO DE SALUD SANTA ELENA,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES D.,-74.19763385,-13.16909444
00003577,CENTRO DE SALUD OCROS,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,OCROS,-73.9163231,-13.39248277
00003584,CENTRO DE SALUD PARAS,I-3,GOBIERNO REGIONAL,AYACUCHO,CANGALLO,PARAS,-74.62996242,-13.55134684
00011369,POLICLINICO POLICIAL IQUITOS,I-3,SANIDAD DE LA POLICIA NACIONAL DEL PERU,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.27792337,-3.76917381
00011292,CENTRO MEDICO REATEGUI E.I.R.L.,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.2498801,-3.7384011
00011386,CAP II SAN JUAN BAUTISTA,I-3,ESSALUD,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.28640444,-3.77457243
00011403,CENTRO DE ATENCION PRIMARIA II NAUTA,I-3,ESSALUD,LORETO,LORETO,NAUTA,-73.5842244,-4.5062377
00011405,CAP II REQUENA,I-3,ESSALUD,LORETO,REQUENA,REQUENA,-73.85676392,-5.0624105
