departamento,procesos,monto_total,monto_mediano
LIMA,5624,7148619781.0,140400.0
CUSCO,1681,1169701420.0,99600.0
ANCASH,1359,971844782.0,175525.0
PUNO,1176,792383112.0,113028.0
JUNIN,958,1385058397.0,167940.0
APURIMAC,865,321168368.0,123850.0
AREQUIPA,847,596922282.0,181297.0
CAJAMARCA,840,1427777694.0,228958.0
LA LIBERTAD,765,778502347.0,225000.0
HUANUCO,615,726655571.0,163603.0
AYACUCHO,599,363244336.0,130046.0
PIURA,583,1004786588.0,252408.0
LAMBAYEQUE,472,329254658.0,132955.0
LORETO,455,497338745.0,271698.0
MOQUEGUA,427,122256838.0,110997.0
UCAYALI,421,731223996.0,198240.0
HUANCAVELICA,414,264947277.0,190972.0
TACNA,391,216458889.0,99360.0
SAN MARTIN,359,1314106113.0,144000.0
CALLAO,357,457705805.0,140284.0
ICA,353,566123077.0,258770.0
AMAZONAS,266,307979853.0,191500.0
PASCO,259,269330021.0,190000.0
MADRE DE DIOS,194,59851934.0,141740.0
TUMBES,142,81323554.0,277011.0
