ocid,comprador,departamento,categoria,monto,dias_consulta,dias_consulta_origen,n_licitantes,adjudicado,descripcion
ocds-dgv273-seacev3-2026-13-41,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,168787.2,0.002777777777777778,calculado,1.0,True,CONTRATACIÓN DEL SERVICIO DE ACCESO A INFORMACIÓN FINANCIERA REFINITIV
ocds-dgv273-seacev3-1232081,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,7909000.0,0.002777777777777778,calculado,1.0,True,SERVICIOS DE ASESORÍA JURÍDICA EN EL MARCO DE LA CONTROVERSIA INICIADA POR LA EMPRESA PROMIGAS S.A. E.S.P.
ocds-dgv273-seacev3-1229664,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,6673000.0,0.002777777777777778,calculado,1.0,True,"SERVICIO DE ASESORÍA JURÍDICA EN EL MARCO DEL ARBITRAJE INTERNACIONAL INICIADO POR LA EMPRESA BLUE WATER WORLDWIDE, BLUE WATER DUNAS LLC ET AL. CONTRA LA REPÚBLICA DEL PERÚ"
ocds-dgv273-seacev3-2026-13-43,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,143818.4,0.003472222222222222,calculado,1.0,True,"SERVICIO DE INFORMACIÓN FINANCIERA ""BLOOMBERG TERMINAL"", PARA LA DIRECCIÓN DE GESTIÓN DE INVERSIONES FINANCIERAS Y MERCADOS DE CAPITALES (DGIFMC) DE LA DIRECCIÓN GENERAL DEL TESORO PÚBLICO (DGTP)"
ocds-dgv273-seacev3-1230126,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,312000.0,0.003472222222222222,calculado,1.0,True,"Servicio de asesoría especializada en daños, en el marco de las nuevas reclamaciones presentadas en el arbitraje internacional iniciado por VINCI Highways SAS & VINCI Concessions SAS"
ocds-dgv273-seacev3-1230077,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,687830.0,0.003472222222222222,calculado,1.0,True,"Servicio de asesoría especializada en tráfico, en el marco de las nuevas reclamaciones presentadas en el arbitraje internacional iniciado por VINCI Highways SAS & VINCI Concessions SAS"
ocds-dgv273-seacev3-1241493,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,5551950.0,0.003472222222222222,calculado,1.0,True,"CONTRATACIÓN DE SERVICIO DE ASESORÍA JURÍDICA EN EL MARCO DE LA CONTROVERSIA INICIADA POR LA EMPRESA UPLAND OIL AND GAS LLC, SUCURSAL DEL PERÚ Y UPLAND OIL AND GAS LLC CONTRA PERUPETRO S.A."
ocds-dgv273-seacev3-1232332,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,1340000.0,0.003472222222222222,calculado,1.0,True,Servicio de asesoría legal en el marco de la solicitud de aclaración del laudo emitido en el caso Freeport McMoran INC. Contra la República del Perú (Caso CIADI No. ARB/20/8)
ocds-dgv273-seacev3-1230082,MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,services,2620000.0,0.003472222222222222,calculado,1.0,True,Servicio de asesoría legal en el marco de las nuevas reclamaciones presentadas en el arbitraje internacional iniciado por VINCI Highways SAS & VINCI Concessions SAS. Contra la Republica del Perú (Caso CIADI No. ARB/21/60)
ocds-dgv273-seacev3-1236599,MUNICIPALIDAD DISTRITAL DE LIMATAMBO,CUSCO,services,426134.74,0.041666666666666664,calculado,3.0,True,"SERVICIO DE SUPERVISIÓN DE LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO, SUPERVISIÓN DE LA EJECUCIÓN DE OBRA Y SUPERVISIÓN DE LA LIQUIDACIÓN DEL PROYECTO DE INVERSIÓN DENOMINADO ¿CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN ESPACIOS DE RECREACION PASIVA Y ACTIVA EN LA LOCALIDAD DE LIMATAMB"
