comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
FOMENTO Y GESTIÓN SOSTENIBLE DE LA PRODUCCIÓN FORESTAL EN EL PERÚ,LIMA,22,22,100.0,890340.0,True
ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,LIMA,174,166,95.4,16991154.0,True
PROGRAMA SUBSECTORIAL DE IRRIGACIONES - PSI,LIMA,27,23,85.19,2592707.0,True
MINISTERIO DE RELACIONES EXTERIORES,LIMA,56,47,83.93,5587333.0,True
COMISION DE PROMOCION DEL PERU PARA LA EXPORTACION Y EL TURISMO - PROMPERU,LIMA,134,104,77.61,23023034.0,True
PETROLEOS DEL PERU S.A.,LIMA,94,72,76.6,81421485.0,True
ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO,LIMA,33,23,69.7,5970919.0,True
INSTITUTO NACIONAL DE SALUD,LIMA,29,20,68.97,4328466.0,True
JURADO NACIONAL DE ELECCIONES,LIMA,44,28,63.64,17682846.0,True
"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP",LIMA,33,21,63.64,7988612.0,True
UNIVERSIDAD NACIONAL DE INGENIERIA,LIMA,16,10,62.5,2336205.0,True
MINISTERIO DE ECONOMIA Y FINANZAS,LIMA,22,13,59.09,104072669.0,True
IAFAS DEL EJERCITO DEL PERU (FOSPEME),LIMA,33,18,54.55,24158399.0,True
MUNICIPALIDAD PROVINCIAL DE AREQUIPA,AREQUIPA,42,21,50.0,97229926.0,True
INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,LIMA,28,14,50.0,19574576.0,True
OFICINA NACIONAL DE PROCESOS ELECTORALES,LIMA,23,11,47.83,162988233.0,True
UNIVERSIDAD NACIONAL SAN AGUSTIN,AREQUIPA,30,14,46.67,4765442.0,True
MUNICIPALIDAD DISTRITAL DE LA VILLA DE CAYMA,AREQUIPA,15,7,46.67,2987643.0,True
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,28,13,46.43,17536758.0,True
GOBIERNO REGIONAL DE TUMBES Sede Central,TUMBES,59,27,45.76,46614410.0,True
MINISTERIO DE CULTURA,LIMA,25,11,44.0,6057880.0,True
AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,LIMA,21,9,42.86,22777229.0,True
GOBIERNO REGIONAL DE LA LIBERTAD - DIRECCIÓN REGIONAL DE SALUD LA LIBERTAD,LA LIBERTAD,17,7,41.18,22855183.0,True
GOBIERNO REGIONAL DE LA LIBERTAD - INST.REG.DE ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA,LA LIBERTAD,17,7,41.18,6398068.0,True
GOBIERNO REGIONAL DE AREQUIPA-AGRICULTURA,AREQUIPA,18,7,38.89,4551796.0,True
UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,LIMA,16,6,37.5,11606148.0,True
MINISTERIO PUBLICO,LIMA,30,11,36.67,19023928.0,True
INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA,LIMA,28,10,35.71,8221516.0,True
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,LIMA,29,10,34.48,9019571.0,True
INSTITUTO TECNOLOGICO DE LA PRODUCCION,LIMA,38,13,34.21,2998555.0,True
EMPRESA MUNICIPAL ADMINISTRADORA DE PEAJE DE LIMA S.A.,LIMA,15,5,33.33,16992794.0,True
COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,LIMA,31,10,32.26,6064048.0,True
REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL,LIMA,28,9,32.14,12837315.0,True
CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,LIMA,55,17,30.91,711901381.0,True
INSTITUTO NACIONAL DE DEFENSA CIVIL,LIMA,20,6,30.0,8747259.0,True
UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,LIMA,20,6,30.0,7224863.0,True
BANCO CENTRAL DE RESERVA DEL PERÚ,LIMA,61,18,29.51,25420121.0,True
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),LIMA,29,8,27.59,229378087.0,True
UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD,15,4,26.67,4025187.0,True
"MINISTERIO DE VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO - Administración General",LIMA,20,5,25.0,18225137.0,True
ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,LIMA,29,7,24.14,27589892.0,True
INSTITUTO NACIONAL DE SALUD DEL NIÑO,LIMA,21,5,23.81,6809759.0,True
GOBIERNO REGIONAL DE PIURA-SALUD,PIURA,18,4,22.22,5057334.0,True
SERVICIO NACIONAL DE SANIDAD AGRARIA,LIMA,18,4,22.22,6762538.0,True
HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA,23,5,21.74,15926219.0,True
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,LIMA,28,6,21.43,28131094.0,True
MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS,LORETO,28,6,21.43,35813206.0,True
ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE LAMBAYEQUE S.A.,LAMBAYEQUE,20,4,20.0,12206941.0,True
GOBIERNO REGIONAL DE AYACUCHO - HOSPITAL HUAMANGA,AYACUCHO,20,4,20.0,3507604.0,True
GOBIERNO REGIONAL DE AREQUIPA - SALUD RED PERIFERICA AREQUIPA,AREQUIPA,16,3,18.75,3963173.0,True
GOBIERNO REGIONAL DE TACNA-HOSPITAL HIPOLITO UNANUE,TACNA,16,3,18.75,2419224.0,True
HOSPITAL CAYETANO HEREDIA,LIMA,16,3,18.75,5878068.0,True
UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,ICA,16,3,18.75,10002136.0,True
MUNICIPALIDAD PROVINCIAL DE HUANUCO,HUANUCO,27,5,18.52,9278315.0,True
AUTORIDAD NACIONAL DE INFRAESTRUCTURA,LIMA,17,3,17.65,43763339.0,True
SEGURO SOCIAL DE  SALUD,LIMA,171,30,17.54,576827457.0,True
MUNICIPALIDAD DISTRITAL DE HUASMIN,CAJAMARCA,18,3,16.67,14698984.0,True
GOBIERNO REGIONAL DE JUNIN - HOSPITAL DANIEL ALCIDES CARRION - HUANCAYO,JUNIN,32,5,15.62,5359937.0,True
