departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,mediana_licitantes
TUMBES,120,44,36.67,76441427.0,2.0
LIMA,3862,1165,30.17,4522289582.0,4.0
AMAZONAS,218,35,16.06,192828241.0,6.0
AREQUIPA,545,80,14.68,403214495.0,8.0
PIURA,405,41,10.12,536834830.0,9.0
LA LIBERTAD,484,49,10.12,513782370.0,8.0
LAMBAYEQUE,272,27,9.93,191020994.0,8.0
CALLAO,220,21,9.55,237037447.0,7.0
LORETO,330,31,9.39,301074051.0,4.0
AYACUCHO,440,34,7.73,287596921.0,7.0
SAN MARTIN,242,16,6.61,173495138.0,6.0
CAJAMARCA,594,39,6.57,940360888.0,7.0
MADRE DE DIOS,153,9,5.88,55879965.0,8.0
PASCO,177,10,5.65,147192524.0,7.0
ICA,232,13,5.6,441433072.0,11.0
JUNIN,627,31,4.94,835339943.0,7.0
MOQUEGUA,257,12,4.67,81653835.0,8.0
HUANUCO,446,19,4.26,512836570.0,8.0
ANCASH,900,38,4.22,580796515.0,9.0
TACNA,228,9,3.95,130783672.0,5.0
HUANCAVELICA,272,10,3.68,160355010.0,8.0
UCAYALI,278,10,3.6,355256242.0,6.0
PUNO,763,25,3.28,334626246.0,7.0
CUSCO,1086,25,2.3,492379024.0,9.0
APURIMAC,591,9,1.52,223684811.0,10.0
