comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
FOMENTO Y GESTIÓN SOSTENIBLE DE LA PRODUCCIÓN FORESTAL EN EL PERÚ,LIMA,22,22,100.0,890340.0,True
ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,LIMA,174,166,95.4,16991154.0,True
PROGRAMA SUBSECTORIAL DE IRRIGACIONES - PSI,LIMA,27,23,85.19,2592707.0,True
MINISTERIO DE RELACIONES EXTERIORES,LIMA,56,47,83.93,5587333.0,True
COMISION DE PROMOCION DEL PERU PARA LA EXPORTACION Y EL TURISMO - PROMPERU,LIMA,134,104,77.61,23023034.0,True
PETROLEOS DEL PERU S.A.,LIMA,94,72,76.6,81421485.0,True
ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO,LIMA,33,23,69.7,5970919.0,True
INSTITUTO NACIONAL DE SALUD,LIMA,29,20,68.97,4328466.0,True
JURADO NACIONAL DE ELECCIONES,LIMA,44,28,63.64,17682846.0,True
"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP",LIMA,33,21,63.64,7988612.0,True
