ocid,titulo,descripcion,comprador,departamento,origen_departamento,categoria,metodo,monto,fecha_publicacion,n_licitantes,adjudicado
ocds-dgv273-seacev3-1182109,LP-ABR-8-2025-GRP-GGR-C-LPA-3,"ADQUISICION DE MAQUINA SELLADORA AL VACIO PARA LA EJECUCION DEL PLAN DE NEGOCIO: ""MEJORAMIENTO DEL PROCESO DE CONGELADO DE LA CONCHA DE ABANICO DE LA EMPRESA TECNOLOGIA Y PESCA ARTESANAL S.A.C., EN EL DISTRITO DE SECHURA, PROVINCIA DE SECHURA, REGION PIURA"" CON CUI 2675917",GOBIERNO REGIONAL DE PIURA SEDE CENTRAL,PIURA,campo_departamento,goods,Licitación Pública Abreviada,62499.0,2026-06-09 23:10:00+00:00,6.0,True
ocds-dgv273-seacev3-1187412,CONV-PROC-16-2026-UE003-CI-LT6-1,"COORDINADOR DE SISTEMAS, EN EL MARCO DEL CONVENIO ENTRE ICL Y LA UE003 ¿ COFOPRI","CREACION Y MEJORAMIENTO DEL SERVICIO DE CATASTRO EN DISTRITOS SELECCIONADOS DE LAS PROVINCIAS DE LIMA, LAMBAYEQUE, CHICLAYO Y PIURA",LIMA,campo_departamento,services,Convenio,5600.0,2026-08-13 22:40:00+00:00,3.0,True
ocds-dgv273-seacev3-1194785,LP-ABR-2-2026-MDSPC/CS-2,CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿CREACIÓN DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA LOCALIDAD DE CARHUANCHO DEL DISTRITO DE SAN PEDRO DE CORIS DE LA PROVINCIA DE CHURCAMPA DEL DEPARTAMENTO DE HUANCAVELICA¿ CUI N°: 2703581,MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CORIS,HUANCAVELICA,campo_departamento,works,Licitación Pública Abreviada,515338.87,2026-06-26 02:41:00+00:00,8.0,True
ocds-dgv273-seacev3-1195042,SIE-SIE-2-2026-EP/UO 0846-1,ADQUISICIÓN DE VÍVERES CON FICHA TECNICA PARA LA COCCIÓN DE ALIMENTOS DESTINADOS AL PERSONAL PROFESIONAL (JERO) DE LA 4a BRIGADA DE MONTAÑA DEL PERIODO DIC 26 - SET 27,EJERCITO PERUANO,LIMA,campo_departamento,goods,Subasta Inversa Electrónica,1035915.9,2026-06-05 04:18:00+00:00,18.0,True
ocds-dgv273-seacev3-1198754,LP-ABR-1-2026-CS/EPSSCSA-1,"RENOVACION DE MEDIO FILTRANTE; EN EL(LA) EPS SELVA CENTRAL S.A. DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE (PTAP) DEL DISTRITO DE CHANCHAMAYO, PROVINCIA CHANCHAMAYO, DEPARTAMENTO JUNIN",ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO SELVA CENTRAL S.A.,JUNIN,campo_departamento,works,Licitación Pública Abreviada,0.0,2026-06-09 23:13:00+00:00,,False
ocds-dgv273-seacev3-1200987,LP-ABR-1-2026-MDA/CS-1,EJECUCION DE LA OBRA:CREACIÓN DEL SERVICIO DE AGUA POTABLE RURAL Y CREACIÓN DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL SECTOR CHECCE DE LA COMUNIDAD CAMPESINA DE MACHOERA DEL CENTRO POBLADO DE UNION MANTARO DEL DISTRITO DE ACORIA DE LA PROVINCIA DE HUANC,MUNICIPALIDAD DISTRITAL DE ACORIA,HUANCAVELICA,campo_departamento,works,Licitación Pública Abreviada,603426.19,2026-08-14 00:58:00+00:00,3.0,False
ocds-dgv273-seacev3-1203054,LP-ABR-4-2026-MDT/CS-2,"CONTRATACION DE EJECUTOR DE OBRA DEL PROYECTO: ¿MEJORAMIENTO DEL SERVICIO DE EDUCACION INICIAL EN I.E. 756 - B DE CENTRO POBLADO CHUMICHINIA, DISTRITO DE TAHUANIA DE LA PROVINCIA DE ATALAYA, DEL DEPARTAMENTO DE UCAYALI.¿. CUI Nº2666636",MUNICIPALIDAD DISTRITAL DE TAHUANIA,UCAYALI,campo_departamento,works,Licitación Pública Abreviada,1609301.78,2026-06-01 22:00:00+00:00,7.0,False
ocds-dgv273-seacev3-1204220,COMPRE-COMPRE-1-2026-MDSM/DEC-1,"ADQUISICIÓN DEL TRICICLO PARA LA SUB GERENCIA DE SERVICIOS MUNICIPALES LA MUNICIPALIDAD DISTRITAL DE SAN MIGUEL, PROVINCIA SAN ROMÁN, DEPARTAMENTO PUNO.",MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,PUNO,campo_departamento,goods,Comparación de Precios,52500.0,2026-06-04 14:58:00+00:00,3.0,True
ocds-dgv273-seacev3-1206758,SIE-SIE-1-2026-MINSA-1,ADQUISICIÓN DE DIESEL B5 S-50 PARA GRUPOS ELECTRÓGENOS Y MONTACARGAS DEL MINSA,MINISTERIO DE SALUD,LIMA,campo_departamento,goods,Subasta Inversa Electrónica,81518.4,2026-06-10 01:23:00+00:00,3.0,False
ocds-dgv273-seacev3-1207527,LP-ABR-128-2025-GR-CUSCO-2,CONTRATACION PARA LA ADQUISICION DE MAQUINAS PARA LA PRODUCCION DE YOGURT PARA LA OBRA 448 ¿MEJORAMIENTO DE LA PRODUCCION Y COMERCIALIZACION DE YOGURT DE LA ASOCIACIONDE PRODUCTORES DE GANADO LECHERO DEL DISTRITO DE COLQUEMARCA-PROVINCIA DE CHUMBIVILCAS REGION CUSCO,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,CUSCO,campo_departamento,goods,Licitación Pública Abreviada,118730.0,2026-06-05 14:34:00+00:00,13.0,True
